country,age,tenure,balance,products_number,active_member,churn
Germany,27,9,152328.88,2,0,0
Spain,33,1,56084.69,2,0,0
Spain,56,8,78707.16,1,1,0
Germany,26,4,109166.37,1,1,0
Germany,36,6,169831.46,2,1,0
Germany,34,1,101633.04,1,0,0
Germany,43,10,123180.01,2,1,0
Germany,35,5,150725.53,2,1,0
France,21,8,98373.26,1,0,0
Germany,58,2,133745.44,4,0,1
France,29,6,0.0,1,0,0
Spain,37,0,163607.18,1,1,0
Germany,25,5,157780.84,2,1,0
France,36,9,0.0,2,1,0
France,21,1,178718.19,2,0,0
France,55,8,0.0,2,1,0
France,32,9,0.0,1,1,0
Spain,33,5,77253.22,1,1,0
Germany,41,10,122189.66,2,0,0
France,34,1,96645.54,2,0,0
France,32,2,0.0,1,0,1
France,36,3,0.0,2,0,0
France,34,4,90307.62,1,1,0
France,46,4,0.0,2,0,0
Spain,75,10,0.0,2,1,0
Spain,22,3,121681.82,1,0,1
France,30,9,0.0,2,0,0
France,46,4,0.0,3,0,1
Germany,28,3,81623.67,2,1,0
Spain,44,5,0.0,3,1,1
France,45,7,118626.55,2,0,0
France,36,10,0.0,2,0,0
France,29,8,0.0,2,1,0
Spain,42,4,0.0,2,1,0
Spain,35,10,176273.95,1,1,0
Spain,41,9,102827.44,1,1,0
Germany,29,8,97086.4,2,1,0
Spain,22,8,0.0,2,0,0
France,34,9,0.0,2,0,0
France,40,6,0.0,1,1,0
France,44,6,0.0,2,0,0
France,31,9,82674.15,1,0,0
Spain,36,7,0.0,2,0,0
Spain,65,1,0.0,1,1,1
Spain,46,4,107073.27,2,1,1
Germany,32,1,88938.62,1,1,0
Germany,36,2,99806.85,1,1,0
Spain,33,5,150092.8,1,0,0
Germany,35,9,92833.89,1,0,1
Germany,30,3,90536.81,1,1,0
Germany,39,7,108055.1,2,0,0
France,42,2,100238.35,1,0,0
Spain,36,9,106190.55,1,1,0
Germany,28,9,154475.54,2,1,1
Germany,30,9,132351.29,2,1,0
Germany,37,6,167864.4,1,0,0
France,41,1,0.0,2,0,0
Germany,31,8,107818.63,1,0,1
Germany,34,4,185173.81,2,0,0
France,34,8,129433.34,2,0,0
Spain,39,6,120193.42,1,0,0
France,39,6,0.0,2,0,0
Germany,48,10,126384.42,1,1,0
France,28,3,0.0,1,0,0
France,42,9,152603.45,1,0,1
France,52,1,0.0,1,1,1
Germany,56,0,148507.24,1,0,1
France,41,7,0.0,2,0,0
France,24,9,101827.07,1,0,0
France,34,3,0.0,2,1,0
Germany,33,9,130862.43,1,1,0
France,38,9,122570.87,1,1,0
France,25,1,0.0,2,1,0
Germany,39,7,124828.46,2,1,0
Germany,50,5,144895.05,2,1,0
Germany,34,5,63663.93,1,1,0
France,40,2,133463.1,1,1,0
Spain,48,2,213146.2,1,0,1
Spain,35,1,129490.36,2,1,1
Germany,44,10,137452.09,1,0,0
France,34,7,0.0,2,1,0
France,43,5,125851.93,1,1,0
Spain,52,2,0.0,1,0,1
France,31,5,40915.55,1,0,1
Spain,21,5,113157.22,1,1,0
Spain,29,8,138296.94,2,0,0
France,37,5,106967.18,1,0,0
France,44,9,120681.63,1,0,0
France,32,0,0.0,2,1,0
Spain,32,7,0.0,2,0,0
France,48,9,0.0,1,0,1
Spain,42,8,0.0,2,0,0
France,37,2,127609.59,1,0,0
France,43,6,0.0,2,1,0
Spain,57,7,0.0,1,0,1
France,33,7,0.0,2,0,0
Spain,28,2,0.0,2,1,0
France,73,6,97259.25,1,1,0
Germany,33,4,123246.7,1,0,0
Spain,22,6,101060.25,1,1,0
France,30,2,0.0,2,0,0
France,49,7,108007.36,1,0,0
Spain,36,2,0.0,2,1,0
Spain,29,0,133702.89,1,0,1
Germany,31,9,125189.75,2,1,0
Germany,24,7,113034.22,1,0,1
Spain,41,9,109013.23,1,0,0
Spain,39,2,0.0,2,0,1
Germany,24,9,57929.81,2,0,0
France,29,4,130114.39,1,0,0
Germany,27,5,95826.49,2,0,0
Germany,44,10,129608.57,1,0,1
France,30,4,169462.09,1,0,0
France,40,5,0.0,2,1,0
Spain,35,7,133868.21,1,1,0
France,30,0,0.0,2,1,0
Germany,36,5,190479.48,2,0,0
Spain,40,8,101993.12,1,1,0
Germany,55,3,161608.81,1,0,1
Spain,45,2,122311.21,1,1,0
France,65,2,0.0,2,1,0
Germany,45,1,162150.42,2,0,0
France,42,2,0.0,2,1,0
France,50,4,0.0,1,1,1
France,32,8,0.0,2,0,0
France,39,1,99010.67,1,0,0
Spain,37,0,0.0,1,1,0
Spain,30,5,0.0,2,1,0
Germany,34,7,111388.18,2,0,0
France,41,8,56214.85,2,0,1
France,36,3,84327.77,2,0,0
France,40,1,0.0,2,0,0
France,32,8,93012.89,1,0,0
Spain,29,9,61710.44,2,0,0
France,35,3,174790.15,1,1,0
Spain,32,6,0.0,2,1,0
Germany,37,3,107720.64,1,1,0
France,57,10,0.0,2,1,0
France,35,6,96423.84,1,0,0
Spain,30,2,141040.01,1,1,0
France,42,4,105420.18,1,1,0
Spain,50,5,0.0,1,1,1
France,38,2,129022.06,2,1,1
Spain,33,3,176666.62,1,0,0
France,37,3,0.0,1,1,0
Spain,41,3,89763.84,1,0,1
France,34,5,134954.53,1,1,0
France,45,5,0.0,1,0,1
France,45,2,106376.85,1,1,0
Germany,33,2,161814.64,2,0,0
France,31,8,0.0,2,1,0
France,41,9,0.0,2,0,0
France,34,1,63095.01,1,1,0
Germany,26,4,118287.01,2,0,0
Germany,47,7,106854.21,1,1,1
France,46,7,49512.55,1,0,0
Spain,33,9,0.0,2,0,0
France,43,1,105799.32,2,0,1
France,54,8,0.0,1,1,1
France,31,9,114722.05,2,1,0
Spain,30,7,0.0,1,1,0
France,42,2,0.0,2,1,0
France,33,10,0.0,1,0,1
Germany,45,6,99564.22,1,1,1
France,37,4,170557.91,2,0,0
France,30,9,0.0,2,1,0
Germany,39,6,74596.15,3,1,1
Germany,50,2,96888.39,1,0,1
Germany,29,3,130830.22,1,0,0
France,72,1,0.0,2,1,0
France,40,0,0.0,2,0,0
France,37,1,0.0,2,1,0
Germany,20,3,119714.25,2,1,0
France,67,5,113978.97,2,1,0
Germany,42,6,100160.75,1,0,1
France,29,2,0.0,1,1,0
Germany,43,3,116220.5,3,0,1
France,46,2,0.0,3,0,1
France,28,2,81173.83,2,1,0
Spain,38,4,0.0,2,0,0
Germany,39,5,116803.8,1,0,0
France,37,8,105961.68,2,1,0
Germany,67,6,117411.6,1,1,1
Spain,34,7,0.0,2,0,0
France,40,10,123497.58,1,0,1
Germany,26,7,152400.51,2,0,0
France,26,1,0.0,2,1,0
Germany,24,8,103097.85,1,1,0
Germany,54,8,126418.14,1,0,1
Germany,36,5,77846.9,1,0,0
Spain,34,1,0.0,2,1,0
France,79,0,0.0,2,1,0
Germany,37,2,79731.91,1,1,0
Spain,28,8,0.0,1,0,0
Spain,41,0,0.0,2,1,0
France,34,10,0.0,2,1,0
Germany,34,6,37266.67,2,0,0
France,30,6,127992.25,1,1,0
Germany,38,3,54901.01,1,1,0
Germany,42,9,108748.08,2,1,0
Spain,48,6,99906.19,1,0,0
France,32,6,184686.41,2,0,0
France,26,0,110654.02,1,1,0
Spain,31,9,79019.8,1,1,0
Spain,36,9,99240.51,1,0,0
France,34,2,0.0,2,1,0
France,36,7,0.0,2,0,0
Spain,39,7,0.0,1,0,1
Germany,35,7,52436.2,1,0,0
Spain,41,9,0.0,2,1,0
Germany,34,3,100337.96,3,0,1
Germany,34,1,149297.19,2,1,0
France,30,8,0.0,2,0,0
Germany,28,4,145605.44,1,1,0
Spain,37,7,0.0,2,1,0
France,62,3,0.0,1,1,1
France,53,10,0.0,2,0,0
France,35,6,84026.86,1,1,0
France,46,1,0.0,1,0,1
France,39,8,0.0,2,1,0
Spain,29,10,0.0,2,1,0
Germany,35,4,138718.92,1,1,1
France,42,7,118274.71,1,1,0
France,22,8,174185.98,2,1,0
France,40,7,113208.86,2,0,0
Spain,29,5,103907.28,1,0,0
France,32,8,119023.28,1,0,0
Spain,26,5,166297.89,1,1,0
Spain,34,10,0.0,2,0,0
Germany,42,9,63227.0,1,1,0
Spain,41,5,94521.17,2,0,0
France,27,7,0.0,2,0,0
Spain,34,9,112822.26,1,0,1
France,38,3,0.0,2,1,0
France,25,2,135903.33,1,0,0
France,31,4,125169.26,1,1,0
Spain,44,7,0.0,3,0,1
France,58,0,149117.31,1,1,0
France,33,5,0.0,2,1,0
France,31,10,0.0,2,0,0
Spain,36,6,132311.71,1,0,0
France,35,8,0.0,2,0,0
France,33,6,0.0,2,1,0
France,33,4,118082.89,1,0,0
France,31,1,119266.69,1,1,0
France,43,2,0.0,1,1,1
Germany,35,7,156847.29,2,0,0
France,50,4,137104.47,1,0,1
Germany,31,8,78398.69,1,0,0
France,80,4,0.0,2,1,0
Germany,30,6,63669.42,1,0,0
France,38,3,0.0,2,0,0
Germany,59,0,135296.33,1,0,0
Spain,36,2,153804.44,1,1,0
Spain,37,3,0.0,2,0,0
France,49,2,147069.78,1,0,1
Spain,42,9,0.0,2,1,0
Spain,22,3,0.0,1,0,0
France,24,4,95741.75,1,0,0
Spain,57,2,145965.33,1,1,0
France,30,8,141441.75,1,1,0
France,40,1,139290.41,1,0,1
France,31,4,0.0,2,0,0
France,30,3,0.0,2,0,0
France,35,4,144428.87,1,0,0
France,35,2,0.0,2,0,0
France,46,9,95441.27,1,0,1
Germany,35,1,144848.74,1,1,0
Germany,26,7,116244.14,2,1,0
France,50,7,0.0,2,1,0
Spain,40,1,146502.07,1,0,0
Germany,44,2,117028.6,2,1,0
Germany,30,8,112013.81,1,0,1
Spain,37,6,108269.37,1,0,0
France,29,7,182123.79,1,0,1
Germany,32,3,150923.74,2,1,0
France,33,2,0.0,2,0,0
Spain,39,5,165272.13,1,0,1
Germany,39,10,115301.31,1,0,1
Germany,40,6,129502.49,2,1,1
France,31,4,118342.26,1,0,0
Spain,47,5,0.0,2,1,0
France,22,8,0.0,2,0,0
France,25,7,0.0,2,0,0
France,43,7,0.0,2,0,0
Germany,34,9,106937.05,2,0,0
Germany,59,3,170331.37,1,1,0
Germany,32,1,114510.85,1,1,0
France,39,5,0.0,2,1,0
Spain,32,3,107594.11,2,1,0
Spain,39,2,81273.13,1,1,0
Spain,32,7,169399.6,1,0,0
Spain,25,6,0.0,2,1,0
France,45,1,187841.99,2,1,0
France,30,0,0.0,2,0,0
Spain,57,8,126776.3,2,1,0
Spain,34,9,126436.29,1,0,1
France,41,1,101960.74,1,1,0
France,58,3,0.0,2,1,0
Spain,28,3,0.0,2,1,0
Germany,45,2,150842.93,1,1,1
France,50,9,102535.57,1,1,0
Germany,29,9,99027.61,2,0,0
France,68,9,0.0,2,1,0
Spain,33,3,0.0,1,1,0
Germany,42,9,87271.41,2,0,0
Germany,35,8,102742.91,2,1,0
Germany,34,2,40105.51,2,1,0
France,29,2,152265.43,1,0,0
Spain,42,4,141947.67,1,1,0
Germany,75,1,106307.91,2,1,0
Germany,31,0,107884.81,2,1,0
Germany,31,1,125013.72,1,1,0
Germany,35,7,58469.37,2,1,0
France,39,8,0.0,1,1,0
Germany,45,10,117231.63,3,1,1
Spain,35,4,152390.26,1,0,0
Spain,30,2,34013.63,1,0,0
Spain,39,2,0.0,3,0,1
France,50,9,0.0,2,1,0
France,36,7,101583.11,2,0,0
Germany,30,10,77168.87,2,1,0
Germany,28,8,124695.72,2,0,0
Germany,44,3,105934.96,1,0,0
France,66,9,0.0,1,1,0
Spain,46,6,0.0,2,0,0
Spain,62,2,0.0,2,1,0
Spain,45,2,0.0,2,1,0
France,21,10,161525.96,2,0,0
Germany,29,7,147199.07,1,1,0
Germany,38,3,183102.29,1,1,0
Spain,46,9,127209.0,2,0,1
Spain,38,8,0.0,2,0,1
Spain,24,0,97378.54,1,1,0
Germany,37,2,136925.09,2,1,0
France,33,3,54503.55,1,1,0
Germany,32,8,155726.85,1,0,0
France,39,9,0.0,2,1,0
France,66,1,135842.41,1,0,1
France,52,1,63349.75,1,0,0
Germany,38,4,129499.42,1,1,0
Spain,52,8,0.0,2,1,0
Spain,36,6,70438.01,2,1,0
France,23,8,0.0,2,1,0
France,36,9,0.0,1,0,0
Spain,49,9,141434.04,1,0,1
Spain,37,4,0.0,2,0,0
Germany,37,10,152958.29,2,1,0
Germany,41,3,138306.34,1,0,0
Spain,23,10,0.0,2,0,0
France,38,1,0.0,2,1,0
Spain,31,3,124328.84,1,1,0
Germany,41,9,181461.48,3,1,1
Spain,35,8,0.0,2,0,0
Spain,26,8,0.0,2,0,0
Germany,61,5,110368.03,1,0,1
France,39,9,89588.35,1,1,0
France,46,6,0.0,2,0,0
France,28,6,0.0,2,0,0
Germany,60,3,115924.89,1,0,1
France,38,2,0.0,2,0,0
Germany,40,7,111756.5,1,0,1
France,35,4,0.0,1,0,0
France,39,9,0.0,1,0,0
France,26,9,162923.85,1,0,0
Germany,39,10,124576.65,2,0,0
France,45,0,80793.58,1,1,0
Germany,40,9,71340.09,1,0,0
Germany,40,1,99282.63,1,0,1
Germany,57,3,137946.39,1,1,1
Germany,41,2,127892.57,2,1,0
Germany,33,0,101084.36,1,0,0
Germany,37,8,114754.08,1,0,1
France,33,8,0.0,1,0,0
France,51,3,99286.98,1,1,0
Germany,30,4,79871.02,2,0,0
France,35,10,104088.59,2,0,0
France,38,2,168190.33,2,0,0
Germany,42,3,85679.25,1,1,0
France,35,3,0.0,1,0,0
France,31,9,0.0,2,0,0
France,34,7,121551.58,2,1,0
France,46,2,122220.19,1,1,0
Spain,47,3,116528.15,1,0,1
France,26,1,77780.29,1,1,0
France,37,2,0.0,1,0,0
France,40,4,125832.2,1,1,0
France,38,6,68065.8,1,0,1
Spain,47,6,127299.34,2,0,0
Germany,38,7,174937.64,1,0,0
France,40,9,0.0,2,1,0
Spain,31,7,110071.1,1,0,0
Spain,44,3,139432.37,1,0,0
France,39,6,127357.76,1,1,0
France,36,5,0.0,2,0,0
France,33,3,0.0,1,1,0
France,38,3,0.0,2,0,0
Germany,43,1,95556.31,1,1,1
Spain,37,8,0.0,1,1,0
Germany,29,1,111681.98,2,1,0
France,39,3,0.0,2,0,0
Spain,25,3,108738.71,2,0,0
France,32,4,133950.37,1,1,1
Spain,26,4,0.0,2,1,0
France,33,9,89968.69,1,0,0
Spain,32,9,0.0,2,1,0
Germany,38,5,130878.75,3,0,1
France,35,8,0.0,2,0,0
France,35,3,0.0,2,1,0
Spain,27,10,134169.62,1,1,0
France,37,1,149762.08,1,0,1
France,26,2,93844.69,1,0,0
France,28,8,0.0,2,0,0
France,33,1,0.0,2,0,0
Germany,46,6,141078.37,1,0,1
Germany,31,1,117992.59,1,1,0
France,40,8,100812.33,2,0,0
France,38,7,0.0,1,1,0
France,29,4,80262.6,1,1,0
Spain,34,6,156478.62,1,1,0
France,23,5,0.0,2,0,0
France,37,8,0.0,3,0,0
Germany,37,9,115217.99,2,0,0
Spain,61,9,0.0,2,0,1
France,35,0,155470.55,1,1,0
France,37,7,0.0,2,0,0
France,39,3,135096.77,1,1,1
France,30,2,0.0,2,1,0
Germany,55,9,180075.22,1,1,0
Spain,29,1,97541.24,1,1,0
France,41,2,156067.05,1,1,0
France,38,4,81550.94,2,1,0
France,47,6,0.0,1,0,1
France,38,2,170061.92,2,0,1
Germany,36,8,92310.54,2,1,0
France,32,6,169089.38,2,0,0
France,40,5,80613.93,1,1,0
Germany,26,8,121581.56,2,1,0
France,58,8,0.0,1,1,1
Spain,32,4,0.0,2,1,0
France,54,5,0.0,2,1,0
France,60,5,85891.55,1,0,1
Spain,44,9,77637.35,2,1,0
Spain,41,4,0.0,1,0,0
France,31,5,0.0,2,0,0
Germany,30,7,116927.89,1,0,0
Germany,40,6,137326.65,1,0,0
France,22,5,0.0,2,1,0
Spain,37,2,0.0,2,1,0
Germany,31,10,67238.98,2,1,0
Germany,38,6,86569.76,2,0,0
Spain,34,5,0.0,2,0,0
France,34,6,133598.4,1,1,0
France,51,3,136188.78,1,1,1
Spain,38,9,0.0,2,0,0
France,56,10,0.0,3,1,1
Germany,37,7,120092.52,2,0,0
France,48,4,101238.24,2,1,1
France,58,6,89685.92,1,1,0
France,35,1,211774.31,1,0,1
France,56,7,131317.48,1,1,0
Spain,37,5,93722.73,2,1,0
Germany,32,8,101160.99,1,1,0
France,48,3,120320.54,1,0,0
France,31,2,0.0,2,1,0
France,43,2,0.0,2,1,0
France,26,8,0.0,2,0,0
Germany,48,3,152827.99,1,0,1
France,30,1,64097.75,1,1,0
Spain,57,2,119035.35,2,1,0
Spain,26,4,135219.57,1,1,0
France,32,6,93694.42,1,1,0
Spain,35,10,59408.63,1,0,0
France,40,7,114354.95,1,0,0
France,59,1,0.0,1,0,1
Germany,35,10,128173.9,2,0,0
Spain,34,9,0.0,2,0,0
Germany,62,5,114931.35,3,1,1
Germany,28,1,111071.36,1,0,1
France,37,8,151226.18,2,1,0
France,26,9,0.0,2,1,0
France,42,4,64740.12,1,1,0
Spain,51,0,169312.13,1,0,1
France,49,7,0.0,3,1,1
Spain,44,2,112652.08,2,0,0
France,38,0,0.0,2,0,0
Germany,30,7,143964.36,2,0,0
France,49,7,122451.46,2,1,0
France,24,1,0.0,3,1,0
Germany,36,3,65253.07,2,0,0
Germany,47,6,106901.94,1,1,1
Spain,25,10,128509.63,1,0,0
France,34,7,0.0,2,0,0
Germany,33,3,129834.67,1,0,0
Spain,51,3,154962.99,3,1,1
Germany,40,5,138241.9,2,0,0
Germany,41,3,91536.93,1,0,1
Spain,53,3,0.0,2,1,0
Spain,70,5,0.0,1,1,0
Germany,29,7,105204.01,1,1,0
Spain,61,1,152968.73,1,1,0
Spain,36,8,158261.68,1,1,0
France,46,1,0.0,1,0,1
Spain,38,6,121021.05,1,1,0
France,36,4,0.0,2,1,0
Spain,54,2,0.0,1,0,1
Spain,63,1,137715.66,1,1,0
Germany,31,5,121192.22,2,1,0
France,31,7,0.0,3,1,0
France,44,1,100486.18,2,1,0
France,45,1,0.0,1,0,1
France,35,9,92566.53,2,0,0
Spain,49,10,0.0,2,1,1
Spain,40,3,110929.96,1,1,0
France,27,8,0.0,2,1,0
Spain,32,3,138901.61,1,0,0
France,30,4,123217.66,2,1,0
France,41,6,0.0,1,0,0
France,39,2,0.0,2,1,0
Spain,36,8,0.0,2,0,0
Spain,33,2,108431.87,2,1,1
Spain,57,3,0.0,2,1,0
Germany,30,9,72392.41,1,0,0
Germany,51,1,119741.77,2,0,1
France,51,2,100946.71,1,0,1
Spain,53,9,170491.84,1,0,1
France,44,5,0.0,1,1,0
France,36,1,0.0,1,0,0
Spain,47,6,157296.02,2,0,1
Germany,38,7,144606.22,1,1,1
France,38,8,134811.3,1,0,0
France,34,9,115897.12,1,1,0
Spain,32,4,82034.0,1,0,0
Spain,26,4,174318.13,2,1,0
Germany,41,2,114206.84,1,0,0
Spain,43,9,0.0,2,0,0
Germany,39,9,111574.41,1,1,0
Germany,57,5,162448.69,1,0,1
Germany,34,4,148249.54,1,1,0
France,43,8,0.0,3,1,1
Spain,26,7,123709.46,2,1,0
France,72,9,0.0,1,1,0
France,30,5,0.0,1,0,1
France,37,10,150525.8,1,1,0
France,29,9,0.0,1,1,0
France,53,4,0.0,2,1,0
France,28,10,0.0,2,0,0
France,35,5,0.0,2,1,0
Germany,51,2,111018.98,1,0,0
France,30,10,129755.99,1,0,0
France,27,6,0.0,2,0,0
France,64,2,129555.7,1,1,0
Spain,38,1,87202.38,1,1,0
Germany,26,8,146133.39,1,1,0
Spain,31,0,0.0,1,0,1
Spain,39,6,170184.99,2,0,0
Germany,62,8,140745.33,1,0,1
Spain,42,7,139070.51,1,1,0
Spain,37,8,0.0,2,1,0
France,35,9,114193.24,1,0,0
Spain,40,10,167878.5,1,1,0
Germany,53,5,141616.55,2,1,0
Germany,36,3,145747.67,2,1,0
Spain,48,2,129120.64,1,1,0
Spain,35,7,110349.82,1,0,0
France,29,1,141325.56,1,1,0
France,49,2,78653.84,1,0,0
France,47,1,0.0,2,1,0
Spain,28,3,142253.65,1,0,0
France,61,1,0.0,1,0,1
Germany,54,6,115988.86,1,0,1
Spain,33,10,75592.43,1,0,0
Germany,44,3,164113.04,2,1,0
France,31,6,67996.23,2,0,1
Spain,51,5,0.0,2,0,0
Spain,33,1,0.0,2,0,0
France,48,1,138778.15,1,1,0
France,43,10,147832.15,1,1,0
France,36,4,135438.4,1,0,0
Spain,48,5,116060.08,1,0,1
France,29,5,112564.62,1,0,0
France,27,1,125406.58,1,1,0
Germany,39,5,135134.99,1,0,1
France,39,9,133102.92,1,0,1
France,34,8,42157.08,1,0,1
France,30,3,0.0,2,1,0
France,38,7,82259.29,1,0,0
France,36,4,0.0,2,0,0
France,38,6,0.0,2,1,0
France,49,4,0.0,2,1,0
France,52,7,0.0,1,1,0
France,42,3,150461.07,1,0,0
Germany,48,4,133994.52,1,1,1
Spain,31,8,164870.81,2,1,0
Germany,25,8,121702.73,1,1,0
Spain,25,6,193858.2,1,1,0
Germany,54,1,131039.97,2,1,0
France,64,9,113829.45,1,1,0
France,30,6,0.0,2,0,0
Germany,41,3,81877.38,1,1,0
Spain,57,8,116326.07,1,1,0
France,31,2,0.0,2,1,0
France,46,4,0.0,2,1,0
France,41,1,0.0,2,1,0
France,33,9,0.0,2,1,0
France,31,3,127070.73,1,1,0
France,29,3,0.0,2,1,0
Spain,46,3,122549.64,1,1,0
France,42,5,176099.13,1,1,0
Germany,48,3,122388.38,2,0,0
France,42,9,0.0,2,1,0
France,26,0,0.0,1,0,0
Spain,32,6,118879.35,2,1,0
Spain,35,5,0.0,2,1,0
France,39,5,0.0,2,1,0
Spain,38,4,88736.44,2,0,0
Germany,45,7,102703.62,1,1,1
Spain,70,1,0.0,2,1,0
Spain,38,3,0.0,2,0,0
France,55,5,97318.25,1,1,0
Spain,58,5,128468.69,1,1,0
Germany,41,4,133432.59,1,1,0
Germany,40,8,141782.57,2,0,0
France,24,9,135125.28,1,0,0
Spain,42,2,178820.91,1,0,1
France,31,2,112212.14,2,1,0
Germany,45,5,126674.81,1,0,1
France,51,7,136294.97,1,0,1
France,36,5,66392.64,1,0,0
Germany,27,1,122552.34,2,0,0
France,43,1,76408.85,2,0,0
Germany,36,8,145071.24,1,0,0
France,34,6,0.0,2,1,0
France,45,2,109730.22,1,1,0
France,57,6,0.0,2,1,0
Spain,62,1,64119.38,1,1,1
Germany,57,1,106138.33,2,1,1
Spain,36,2,0.0,2,1,0
Germany,33,0,181656.51,1,1,0
France,32,5,0.0,2,0,0
France,30,7,95128.86,1,0,0
Spain,49,2,126615.94,2,1,0
Spain,36,1,0.0,2,1,0
Germany,36,2,76190.48,2,1,0
Germany,40,5,168286.81,3,0,1
Germany,35,4,88109.81,1,1,0
France,42,4,0.0,2,0,0
France,35,8,0.0,2,1,0
France,34,3,123971.51,2,0,0
France,48,0,148116.48,1,0,0
Germany,35,6,116269.01,1,0,0
Spain,38,1,120599.21,1,0,0
France,41,3,144260.5,1,0,0
Spain,25,3,86605.5,3,0,1
France,34,9,0.0,2,0,0
Germany,37,4,58629.97,1,0,0
Spain,42,5,0.0,2,0,0
France,45,10,0.0,2,0,0
France,43,5,0.0,1,1,0
Spain,56,2,209767.31,2,1,1
Spain,42,6,129634.25,2,1,1
France,23,1,0.0,2,0,0
France,38,2,169824.46,1,0,0
France,36,3,97530.25,1,1,0
France,42,10,145988.65,2,1,0
France,37,9,0.0,2,1,0
France,25,7,0.0,3,1,0
France,40,5,137494.28,1,0,0
France,57,1,0.0,1,0,1
France,24,6,147360.0,1,1,0
France,25,10,0.0,2,0,0
Spain,31,3,125167.02,1,0,0
Germany,43,9,121152.05,2,0,1
Germany,60,7,128981.07,1,1,1
France,47,6,0.0,1,1,0
Spain,67,6,151858.98,1,1,0
France,36,2,114628.4,1,1,0
France,46,6,0.0,2,0,0
France,28,8,95059.02,2,0,0
France,24,7,128736.39,1,1,0
France,24,8,156325.38,1,1,0
France,29,7,105405.97,1,1,0
France,49,2,88915.37,3,0,1
France,60,8,0.0,2,1,0
France,40,5,0.0,2,1,0
France,18,2,160980.03,1,0,0
Spain,46,5,177619.71,1,0,0
Spain,38,2,62276.99,1,1,0
Germany,46,4,127559.97,2,1,0
France,41,0,0.0,2,1,0
Germany,47,9,95523.16,1,0,0
France,35,7,107749.03,1,1,0
Germany,37,2,110777.26,2,0,0
Spain,39,5,166733.92,2,0,0
France,31,9,157120.86,2,0,0
Germany,36,2,127160.78,2,0,0
Spain,28,2,0.0,2,1,0
France,37,9,156091.97,1,0,0
France,58,5,98668.18,1,1,0
France,43,5,134022.06,1,0,0
France,35,5,124151.09,1,0,1
Germany,36,6,77253.5,1,0,1
Germany,21,1,114292.48,1,0,0
Germany,43,2,140080.32,3,1,1
Spain,27,2,135277.96,1,0,0
France,82,2,0.0,2,1,0
Germany,60,9,115920.62,2,0,1
Spain,41,2,119782.72,2,0,0
France,63,1,114715.71,1,1,1
Germany,36,2,129748.54,2,0,1
France,31,4,129722.57,1,0,0
France,32,2,0.0,2,1,0
France,36,3,139180.2,1,0,0
Germany,49,6,113599.74,2,0,1
France,33,7,134944.0,1,1,0
Germany,58,7,116922.25,1,0,1
Spain,28,9,118945.09,1,0,1
France,28,8,0.0,2,1,0
Spain,35,8,119182.73,1,0,0
France,27,8,0.0,2,0,0
France,28,1,71264.02,2,1,0
France,41,2,0.0,2,1,0
France,35,8,0.0,2,0,0
Germany,58,7,116313.57,1,1,1
Spain,36,5,92140.15,1,1,0
France,26,1,0.0,2,1,0
Germany,42,2,177640.09,1,1,0
Spain,35,0,0.0,2,0,0
